Original Tags,Tag Category,Tag Term,Question,Answer 1,Answer 2,Answer 3,Answer 4
community_rules_and_governance-bulk_trash_disposal_rules,Community Rules and Governance,Bulk Trash Disposal Rules,Are there trash disposal rules?,Yes,No,,
community_rules_and_governance-ccr_amendment_procedure,Community Rules and Governance,CCR Amendment Procedure,Is there a CCR amendment procedure?,Yes,No,,
community_rules_and_governance-common_area_restrictions_details,Community Rules and Governance,Common Area Restrictions,Explain common area restrictions.,(explanation),,,
community_rules_and_governance-has_common_area_restrictions,Community Rules and Governance,Common Area Restrictions,Are there common area restrictions?,Yes,No,,
community_rules_and_governance-has_noise_restrictions,Community Rules and Governance,Noise Restrictions,Are there noise restrictions?,Yes,No,,
community_rules_and_governance-has_pool_clubhouse_restrictions,Community Rules and Governance,Pool Clubhouse Restrictions,Are there pool clubhouse restrictions?,Yes,No,,
community_rules_and_governance-has_security_camera_restrictions,Community Rules and Governance,Security Camera Restrictions,Are there personal home security camera restrictions?,Yes,no,,
community_rules_and_governance-has_smoking_restrictions,Community Rules and Governance,Smoking Restrictions,Are there smoking restrictions?,Yes,no,,
community_rules_and_governance-noise_restrictions_details,Community Rules and Governance,Noise Restriction Details,Explain the noise restrictions.,(explanation),,,
community_rules_and_governance-pool_clubhouse_restrict_details,Community Rules and Governance,Pool Clubhouse Restrictions Details,Explain the pool clubhouse restrictions.,(explanation),,,
community_rules_and_governance-security_camera_restrict_details,Community Rules and Governance,Security Camera Restrictions Details,Explain the personal home security camera restrictions.,(explanation),,,
community_rules_and_governance-smoking_restrictions_details,Community Rules and Governance,Smoking Restrictions Details,Explain the smoking restrictions.,(explanation),,,
community_rules_and_governance-snow_removal_responsibility,Community Rules and Governance,Snow Removal Responsibility,Are residents responsible for snow removal?,Yes,No,,
financial_and_legal-dues_frequency_and_amount_details,Financial and Legal,Dues Frequency & Amount Details,How frequently does the HOA collect dues?,Monthly,Quarterly,Bi-annually,Annually
financial_and_legal-foreclosure_process_for_unpaid_dues,Financial and Legal,Foreclosure Process for Unpaid Dues,Is there a foreclosure process for unpaid dues?,Yes,No,,
financial_and_legal-foreclosure_process_for_unpaid_dues_details,Financial and Legal,Foreclosure Process for Unpaid Dues Details,Explain the foreclosure process for unpaid dues.,(explanation),,,
financial_and_legal-has_violation_fine_schedule,Financial and Legal,Violation Fine Schedule,Is there a violation fine schedule?,Yes,No,,
financial_and_legal-hoa_board_meeting_frequency,Financial and Legal,HOA Board Meeting Frequency,How often does the HOA board meet?,0-180 days,,,
financial_and_legal-late_fee_policy,Financial and Legal,Late Fee Policy,Is there a late fee policy?,Yes,No,,
financial_and_legal-late_fee_policy_details,Financial and Legal,Late Fee Policy Details,Explain the late fee policy.,(explanation),,,
financial_and_legal-monetary_transparency_policies,Financial and Legal,Monetary Transparency Policies,Is there a monetary transparency policy?,Yes,No,,
financial_and_legal-monetary_transparency_policies_details,Financial and Legal,Monetary Transparency Policies Details,Explain the monetary transparency policy.,(explanation),,,
financial_and_legal-monthly_dues_amount,Financial and Legal,Monthly Dues Amount,What is the dues amount for each property type?,$0-500,,,
financial_and_legal-special_assessment_policy,Financial and Legal,Special Assessment Policy,Is there a special assessment policy?,Yes,No,,
financial_and_legal-transfer_or_reinvestment_fee,Financial and Legal,Transfer or Reinvestment Fee,Is there a transfer or reinvestment fee?,Yes,No,,
financial_and_legal-violation_fine_schedule_details,Financial and Legal,Violation Fine Schedule Details,Explain the violation fine schedule.,(explanation),,,
financial_and_legal-voting_rights_structure,Financial and Legal,Voting Rights Structure,Explain the voting rights structure.,(explanation),,,
parking_and_vehicles-boat_parking_allowed,Parking and Vehicles,Boat Parking Allowed,Are there parking rules?,Yes,No,,
parking_and_vehicles-boat_parking_rules,Parking and Vehicles,Boat Parking Rules,Explain the parking rules.,(explanation),,,
parking_and_vehicles-commercial_vehicle_restrictions,Parking and Vehicles,Commercial Vehicle Restrictions,,,,,
parking_and_vehicles-commercial_vehicle_rules,Parking and Vehicles,Commercial Vehicle Rules,,,,,
parking_and_vehicles-driveway_parking_restrictions,Parking and Vehicles,Driveway Parking Restrictions,,,,,
parking_and_vehicles-guest_parking_rules,Parking and Vehicles,Guest Parking Rules,,,,,
parking_and_vehicles-rv_parking_allowed,Parking and Vehicles,RV Parking Allowed,,,,,
parking_and_vehicles-rv_parking_rules,Parking and Vehicles,RV Parking Rules,,,,,
parking_and_vehicles-street_parking_rules,Parking and Vehicles,Street Parking Rules,,,,,
parking_and_vehicles-trailer_parking_allowed,Parking and Vehicles,Trailer Parking Allowed,,,,,
parking_and_vehicles-trailer_parking_rules,Parking and Vehicles,Trailer Parking Rules,,,,,
pets_and_animals-exotic_animals_banned,Pets and Animals,Exotic Animals Banned,Are there rules regarding animal ownership?,Yes,No,,
pets_and_animals-livestock_allowed,Pets and Animals,Livestock Allowed,Explain the rules regarding animal ownership.,(explanation),,,
pets_and_animals-livestock_restrictions_details,Pets and Animals,Livestock Restrictions Details,,,,,
pets_and_animals-pet_limit,Pets and Animals,Pet Limit,,,,,
pets_and_animals-pet_restrictions_details,Pets and Animals,Pet Restrictions Details,,,,,
pets_and_animals-pet_waste_policy,Pets and Animals,Pet Waste Policy,,,,,
pets_and_animals-pet_waste_policy_details,Pets and Animals,Pet Waste Policy Details,,,,,
pets_and_animals-poultry_allowed,Pets and Animals,Poultry Allwed,,,,,
pets_and_animals-poultry_quantity_limit,Pets and Animals,Poultry Quantity Limit,,,,,
prop_and_architect_restricts-architectural_restrictions_details,Property and Architectural Restrictions,Architectural Restrictions Details,Explain the architectural restrictions.,(explanation),,,
prop_and_architect_restricts-construction_approval_details,Property and Architectural Restrictions,Construction Approval Details,Explain the construction approval process.,(explanation),,,
prop_and_architect_restricts-fence_restrictions_details,Property and Architectural Restrictions,Fence Restrictions Details,Explain the fence restrictions.,(explanation),,,
prop_and_architect_restricts-garage_requirements_details,Property and Architectural Restrictions,Garage Requirements Details,Explain the garage requirements.,(explanation),,,
prop_and_architect_restricts-has_architectural_restrictions,Property and Architectural Restrictions,Architectural Restrictions,Are there architectural restrictions?,Yes,No,,
prop_and_architect_restricts-has_construction_approval_process,Property and Architectural Restrictions,Construction Approval Process,Is there a construction approval process?,Yes,No,,
prop_and_architect_restricts-has_fence_restrictions,Property and Architectural Restrictions,Fence Restrictions,Are there fence restrictions?,Yes,No,,
prop_and_architect_restricts-has_garage_requirements,Property and Architectural Restrictions,Garage Requirements,Are there garage requirements?,Yes,No,,
prop_and_architect_restricts-has_minimum_square_footage,Property and Architectural Restrictions,Minimum Square Footage,Is there a minimum square footage?,Yes,No,,
prop_and_architect_restricts-has_paint_color_restrictions,Property and Architectural Restrictions,Paint Color Restrictions,Are there paint color restrictions?,Yes,No,,
prop_and_architect_restricts-has_roof_restrictions,Property and Architectural Restrictions,Roof Restrictions,Are there roof restrictions?,Yes,No,,
prop_and_architect_restricts-has_setback_requirements,Property and Architectural Restrictions,Setback Requirements,Are there setback requirements?,Yes,No,,
prop_and_architect_restricts-has_solar_panel_restrictions,Property and Architectural Restrictions,Solar Panel Restrictions,Are there solar panel restrictions?,Yes,No,,
prop_and_architect_restricts-minimum_square_footage_details,Property and Architectural Restrictions,Minimum Square Footage Details,Explain the minimum square footage requirements.,(explanation),,,
prop_and_architect_restricts-paint_color_restrictions_details,Property and Architectural Restrictions,Paint Color Restrictions Details,Explain the paint color restrictions.,(explanation),,,
prop_and_architect_restricts-roof_restrictions_details,Property and Architectural Restrictions,Roof Restrictions Details,Explain the roof restrictions.,(explanation),,,
prop_and_architect_restricts-setback_requirements_details,Property and Architectural Restrictions,Setback Requirements Details,Explain the setback requirements.,(explanation),,,
prop_and_architect_restricts-shed_or_outbuilding_rules,Property and Architectural Restrictions,Shed or Outbuilding Rules,Explain the shed or outbuildings rules.,(explanation),,,
prop_and_architect_restricts-sheds_or_outbuildings_allowed,Property and Architectural Restrictions,Sheds or Outbuildings Allowed,Are sheds or outbuildings allowed?,Yes,No,,
prop_and_architect_restricts-solar_panel_restrictions_details,Property and Architectural Restrictions,Solar Panel Restrictions Details,Explain the solar panel restrictions.,(explanation),,,
rentals-has_rental_cap,Rentals,Rental Cap,Is there a rental cap?,Yes,No,,
rentals-long_term_rentals_allowed,Rentals,Long Term Rentals Allowed,Are long term rentals allowed?,Yes,No,,
rentals-minimum_lease_duration_months,Rentals,Minimum Lease Duration,Is there a minimum lease duration?,Yes,No,,
rentals-owner_occupancy_requirement,Rentals,Owner Occupancy Requirement,Is there an owner occupancy requirement?,Yes,No,,
rentals-rental_cap_details,Rentals,Rental Cap Details,Explain the rental cap/,(explanation),,,
rentals-short_term_rentals_allowed,Rentals,Short Term Rental Allowed,Are short term rentals allowed?,Yes,No,,
yard_and_exterior_use-above_ground_pool_restrictions_details,Yard and Exterior Use,Above Ground Pool Restrictions Details,Explain the above ground pool restrictions.,(explanation),,,
yard_and_exterior_use-basketball_hoop_restrictions_details,Yard and Exterior Use,Basketball Hoop Restrictions Details,Explain the basketball hoop restrictions.,(explanation),,,
yard_and_exterior_use-has_above_ground_pool_restrictions,Yard and Exterior Use,Above Ground Pool Restrictions,Are there above ground pool restrictions?,Yes,No,,
yard_and_exterior_use-has_basketball_hoop_restrictions,Yard and Exterior Use,Basketball Hoop Restrictions,Are there basketball hoop restrictions?,Yes,No,,
yard_and_exterior_use-has_holiday_light_restrictions,Yard and Exterior Use,Holiday Light Restrictions,Are there holiday light restrictions?,Yes,No,,
yard_and_exterior_use-has_landscaping_restrictions,Yard and Exterior Use,Landscaping Restrictions,Are there landscaping restrictions?,Yes,No,,
yard_and_exterior_use-has_lawn_maintenance_requirements,Yard and Exterior Use,Lawn Maintenance Requirements,Are there lawn maintenance requirements?,Yes,No,,
yard_and_exterior_use-has_playset_restrictions,Yard and Exterior Use,Playset Restrictions,Are there playset restrictions?,Yes,No,,
yard_and_exterior_use-has_trampoline_restrictions,Yard and Exterior Use,Trampoline Restrictions,Are there trampoline restrictions?,Yes,No,,
yard_and_exterior_use-has_trash_can_visibility_restrictions,Yard and Exterior Use,Trash Can Visibility Restrictions,Are there trash can visibility restrictions?,Yes,No,,
yard_and_exterior_use-has_tree_removal_restrictions,Yard and Exterior Use,Tree Removal Restrictions,Are there tree removal restrictions?,Yes,No,,
yard_and_exterior_use-has_yard_clutter_restrictions,Yard and Exterior Use,Yard Clutter Restrictions,Are there yard clutter restrictions?,Yes,No,,
yard_and_exterior_use-holiday_light_restrictions_details,Yard and Exterior Use,Holiday Light Restrictions Details,Explain the holiday light restrictions.,(explanation),,,
yard_and_exterior_use-landscaping_restrictions_details,Yard and Exterior Use,Landscaping Restrictions Details,Explain the landscaping restrictions.,(explanation),,,
yard_and_exterior_use-lawn_maintenance_details,Yard and Exterior Use,Lawn Maintenance Details,Explain the lawn maintenance requirements.,(explanation),,,
yard_and_exterior_use-playset_restrictions_details,Yard and Exterior Use,Playset Restrictions Details,Explain the playset restrictions.,(explanation),,,
yard_and_exterior_use-trampoline_restrictions_details,Yard and Exterior Use,Trampoline Restrictions Details,Explain the trampoline restrictions.,(explanation),,,
yard_and_exterior_use-trash_can_visibility_details,Yard and Exterior Use,Trash Can Visibility Details,Explain the trash can visiblity restrictions.,(explanation),,,
yard_and_exterior_use-tree_removal_details,Yard and Exterior Use,Tree Removal Details,Explain the tree removal restrictions.,(explanation),,,
yard_and_exterior_use-yard_clutter_details,Yard and Exterior Use,Yard Clutter Details,Explain the yard clutter restrictions.,(explanation),,,
ADU Types Allowed,Accessory Dwelling Unit (ADU),ADU Types Allowed,Are accessory dwelling units allowed?,Yes,No,,
ADU Owner Occupancy,Accessory Dwelling Unit (ADU),ADU Owner Occupancy,Are there accessory dwelling unit owner occupancy restrictions?,Yes,No,,
ADU Owner Occupancy Details,Accessory Dwelling Unit (ADU),ADU Owner Occupancy Details,Explain the accessory dwelling unity owner occupany restrictions.,(explanation),,,
ADU Parking Requirements,Accessory Dwelling Unit (ADU),ADU Parking Requirements,Are there accessory dwelling unit parking requirements?,Yes,No,,
ADU Parking Requirements Details,Accessory Dwelling Unit (ADU),ADU Parking Requirements Details,Explain the accessory dwelling unit parking requirements.,(explanation),,,
ADU Detached,Accessory Dwelling Unit (ADU),ADU Detached,Can accessory dwelling units be detached?,Yes,No,,
ADU Notable Rules / Code References,Accessory Dwelling Unit (ADU),ADU Notable Rules / Code References,What are other notable accessory dwelling unit rules or code references?,(explanation),,,